signal_date,ticker,target_weight,current_weight,order_weight_delta,alpha_score,trading_cost_bps,net_alpha_after_cost_bps,min_net_alpha_after_cost_bps,passes_cost_threshold,alpha_rank,quantile_bucket,price_flag,reason_text
2026-05-14,AEHL,0.0,0.0,0.0,-0.008727542899476935,3.0,-90.27542899476936,5.0,False,7458.0,1.0,False,
2026-05-14,AEHR,0.004457310267857143,0.004464285714285714,-6.975446428571404e-06,0.007365002997479504,3.0,70.65002997479505,5.0,True,55.0,5.0,True,"SELL because predicted alpha is in the top decile. Net alpha after estimated 3.0 bps trading cost is 70.65 bps versus threshold 5.00 bps. Main contributors were mom_252, mom_63, hl_range_20. Price filter passed; liquidity filter passed."
2026-05-14,AEI,0.0,0.0,0.0,0.005151793400953536,3.0,48.51793400953536,5.0,True,175.0,5.0,False,
2026-05-14,AEIS,0.0,0.0,0.0,-0.002140718630779221,3.0,-24.407186307792212,5.0,False,7047.0,1.0,True,
2026-05-14,AEMD,0.0,0.0,0.0,-0.0018820402459264213,3.0,-21.820402459264212,5.0,False,6985.0,1.0,False,
2026-05-14,AENT,0.0,0.0,0.0,0.00039646424348428267,3.0,0.9646424348428266,5.0,False,1774.0,3.0,True,
2026-05-14,AEP,-0.003676060267857143,-0.004464285714285714,0.0007882254464285712,-0.0008268632986681981,3.0,5.268632986681981,5.0,True,6735.0,2.0,True,"COVER because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 5.27 bps versus threshold 5.00 bps. Main contributors were hl_range_20, volume_z_60, volatility_20. Price filter passed; liquidity filter passed."
2026-05-14,AEPI,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2083.0,2.0,False,
2026-05-14,AEPPL,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2084.0,2.0,False,
2026-05-14,AEPPZ,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2085.0,2.0,False,
2026-05-14,AERC,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2086.0,2.0,False,
2026-05-14,AERG,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2087.0,2.0,False,
2026-05-14,AERI,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2088.0,2.0,False,
2026-05-14,AERT,0.0,0.0,0.0,0.0023256941571749993,3.0,20.256941571749994,5.0,True,718.0,5.0,False,
2026-05-14,AETI,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2089.0,2.0,False,
2026-05-14,AEVA,0.0,0.0,0.0,0.003179690203851123,3.0,28.796902038511227,5.0,True,462.0,5.0,True,
2026-05-14,AEY,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2090.0,2.0,False,
2026-05-14,AEYE,-0.00078125,0.0,-0.00078125,-0.003825585169027407,3.0,35.25585169027407,5.0,True,7257.0,1.0,True,"SHORT because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 35.26 bps versus threshold 5.00 bps. Main contributors were intraday_return, mom_5, sales_to_price. Price filter passed; liquidity filter passed."
2026-05-14,AEZS,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2091.0,2.0,False,
2026-05-14,AFAC,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2092.0,2.0,False,
2026-05-14,AFAM,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2093.0,2.0,False,
2026-05-14,AFAQ,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2094.0,2.0,False,
2026-05-14,AFAR,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2095.0,2.0,False,
2026-05-14,AFBI,0.0,0.0,0.0,-0.001717508382267566,3.0,-20.17508382267566,5.0,False,6953.0,1.0,True,
2026-05-14,AFCB,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2096.0,2.0,False,
2026-05-14,AFCG,0.0,0.0,0.0,-0.0025860592206830824,3.0,-28.860592206830823,5.0,False,7127.0,1.0,False,
2026-05-14,AFCGV,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2097.0,2.0,False,
2026-05-14,AFFX,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2098.0,2.0,False,
2026-05-14,AFFY,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2099.0,2.0,False,
2026-05-14,AFH,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2100.0,2.0,False,
2026-05-14,AFHBL,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2101.0,2.0,False,
2026-05-14,AFIB,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2102.0,2.0,False,
2026-05-14,AFIN,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2103.0,2.0,False,
2026-05-14,AFINO,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2104.0,2.0,False,
2026-05-14,AFJK,0.0,0.0,0.0,-0.007823102952127337,3.0,-81.23102952127337,5.0,False,7442.0,1.0,True,
2026-05-14,AFMD,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2105.0,2.0,False,
2026-05-14,AFOP,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2106.0,2.0,False,
2026-05-14,AFRI,0.0,0.0,0.0,-0.000697125022194542,3.0,-9.971250221945422,5.0,False,6695.0,2.0,True,
2026-05-14,AFRM,0.0,0.0,0.0,0.00039934264595695704,3.0,0.9934264595695703,5.0,False,1773.0,3.0,True,
2026-05-14,AFSI,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2107.0,2.0,False,
2026-05-14,AFYA,0.0,0.0,0.0,0.0015324901086504067,3.0,12.324901086504067,5.0,True,1051.0,4.0,True,
2026-05-14,AGAE,0.0,0.0,0.0,-0.004508351133258745,3.0,-48.08351133258745,5.0,False,7304.0,1.0,False,
2026-05-14,AGBA,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2108.0,2.0,False,
