ticker,alpha,z_alpha,dollar_volume,passes_signal
RVMD,-0.007819776089741583,-1.0598752928915147,1515628.9753151,False
VTRS,-0.007799883934891958,-1.0556404547524132,1518495.00313847,False
CADL,-0.0077997173594362606,-1.0556049925263167,391470.66000000003,False
AMGN,-0.007797883139934162,-1.0552145057861073,4599062.922866175,False
RBBN,-0.007731573004971573,-1.0410977501771075,6550.528281375001,False
NXPI,-0.0076683749755188544,-1.0276435302866227,9622424.80878848,False
VNDA,-0.0076454373762491565,-1.0227603478993423,54357.6,False
BTSG,-0.007627985792477815,-1.0190450826049946,996907.3290242602,False
OGI,-0.0076145591442803,-1.0161866852972639,22641.408878625,False
LGN,-0.007602892166569127,-1.0137029039999221,1615474.14355125,False
CCEP,-0.007579815719947166,-1.0087901624187123,1121921.87116068,False
FTAI,-0.007534107949280553,-0.9990594413412055,2704212.6555648004,False
AIFF,-0.0075238235634740224,-0.9968699998463062,538.5,False
TXG,-0.007505854193527709,-0.9930445031236268,362214.82254419994,False
NKTR,-0.007490628620841914,-0.9898031330263757,374777.50970712,False
AMLX,-0.0074790859314403015,-0.9873458114503437,76123.18,False
PHUN,-0.007427925777306957,-0.9764543331985402,576.216,False
CETX,-0.007394543322041064,-0.9693475468395192,6850.3248,False
CHTR,-0.007338210823785885,-0.9573549289514479,1372117.54977,False
VICR,-0.007314998565336692,-0.9524132744088192,2589473.36065066,False
SHLS,-0.00730972579790628,-0.9512907556680532,250056.79786751996,False
NVCR,-0.007300767298598462,-0.9493835819694442,375149.7573307,False
NVEC,-0.0072916626899264675,-0.9474453030681778,81812.10699662,False
SPWR,-0.007258039455362944,-0.9402872572372483,26266.816602334402,False
TLN,-0.0072514748873036905,-0.9388897272363906,2381981.6992831198,False
SANM,-0.00724775346678132,-0.9380974745277775,917816.9523113,False
GPRO,-0.007242557518151506,-0.9369913097310177,69222.87234794,False
HELP,-0.0072416071069909115,-0.9367889768283665,26020.079999999998,False
MARA,-0.007237930018467155,-0.9360061619529056,5610391.902355275,False
CGNX,-0.007212542725457565,-0.9306014645986831,1282307.80995891,False
DLTR,-0.007178563511717754,-0.9233676344093537,3070487.58211728,False
BNGO,-0.0071439864327614965,-0.9160065247754497,395.826749,False
BEAT,-0.0071099405848302774,-0.9087585088421789,6842.03205,False
BAND,-0.007045592247369705,-0.8950594000364308,54241.0,False
RDCM,-0.007041319749422486,-0.8941498285298296,24059.851199999997,False
ODD,-0.007037456812592166,-0.8933274484336741,382988.013296,False
RXT,-0.007018983722403807,-0.8893947147772095,5684929.33475277,False
SENS,-0.006966048281395094,-0.878125295944082,32642.739999999998,False
CTMX,-0.006962629599324239,-0.8773974931832166,32840.789265125,False
MRAM,-0.006953255643419423,-0.8754018729862062,5208054.82916785,False
DXCM,-0.006953239015621913,-0.875398333096657,1780869.1651561602,False
QMCO,-0.006943771527171996,-0.8733828007688474,15087.13411766,False
POWL,-0.006937547160155641,-0.8720576961217196,2200488.58708954,False
